Claim_id,Claim_amount,Date,Holder_id,Claim_Status
8270,4943,2022-01-01,32,Pending
1860,24939,2022-01-15,2,Approved
6390,20457,2022-01-30,14,Approved
6191,2021,2022-02-14,12,Rejected
6734,12653,2022-03-01,37,Pending
7265,44573,2022-03-16,34,Pending
1466,14417,2022-03-31,45,Approved
5426,41757,2022-04-15,5,Rejected
6578,10692,2022-04-30,22,Approved
9322,46758,2022-05-14,2,Pending
2685,7873,2022-05-29,11,Rejected
1769,6675,2022-06-13,26,Pending
7949,1161,2022-06-28,2,Pending
3433,38065,2022-07-13,10,Rejected
6311,27557,2022-07-28,33,Rejected
6051,34763,2022-08-12,28,Rejected
7420,33606,2022-08-27,12,Approved
2184,12534,2022-09-10,30,Approved
5555,30127,2022-09-25,41,Approved
4385,41397,2022-10-10,1,Approved
7396,26851,2022-10-25,41,Approved
9666,2016,2022-11-09,35,Rejected
3558,25253,2022-11-24,18,Rejected
8849,25276,2022-12-09,8,Approved
3047,24247,2022-12-24,48,Pending
3747,25300,2023-01-07,17,Pending
1189,9529,2023-01-22,5,Rejected
3734,18262,2023-02-06,5,Pending
4005,10268,2023-02-21,43,Approved
5658,22271,2023-03-08,31,Approved
2899,13185,2023-03-23,41,Pending
8734,22243,2023-04-07,37,Approved
2267,40099,2023-04-22,27,Pending
2528,9571,2023-05-06,49,Rejected
4556,40976,2023-05-21,19,Pending
4890,39044,2023-06-05,28,Approved
9838,49984,2023-06-20,42,Rejected
6393,41774,2023-07-05,31,Pending
9792,3568,2023-07-20,44,Approved
9433,3027,2023-08-04,29,Approved
8513,3695,2023-08-19,36,Approved
3612,49190,2023-09-02,3,Pending
8041,6258,2023-09-17,12,Rejected
7235,23002,2023-10-02,15,Pending
6486,40504,2023-10-17,4,Approved
8099,34159,2023-11-01,12,Pending
1775,14986,2023-11-16,6,Rejected
9226,13666,2023-12-01,14,Pending
4152,39660,2023-12-16,32,Rejected
2585,4561,2023-12-31,19,Rejected
