Claim_id,Claim_amount,Date,Holder_id
8270,4943,2022-01-01,32
1860,24939,2022-01-15,2
6390,20457,2022-01-30,14
6191,2021,2022-02-14,12
6734,12653,2022-03-01,37
7265,44573,2022-03-16,34
1466,14417,2022-03-31,45
5426,41757,2022-04-15,5
6578,10692,2022-04-30,22
9322,46758,2022-05-14,2
2685,7873,2022-05-29,11
1769,6675,2022-06-13,26
7949,1161,2022-06-28,2
3433,38065,2022-07-13,10
6311,27557,2022-07-28,33
6051,34763,2022-08-12,28
7420,33606,2022-08-27,12
2184,12534,2022-09-10,30
5555,30127,2022-09-25,41
4385,41397,2022-10-10,1
7396,26851,2022-10-25,41
9666,2016,2022-11-09,35
3558,25253,2022-11-24,18
8849,25276,2022-12-09,8
3047,24247,2022-12-24,48
3747,25300,2023-01-07,17
1189,9529,2023-01-22,5
3734,18262,2023-02-06,5
4005,10268,2023-02-21,43
5658,22271,2023-03-08,31
2899,13185,2023-03-23,41
8734,22243,2023-04-07,37
2267,40099,2023-04-22,27
2528,9571,2023-05-06,49
4556,40976,2023-05-21,19
4890,39044,2023-06-05,28
9838,49984,2023-06-20,42
6393,41774,2023-07-05,31
9792,3568,2023-07-20,44
9433,3027,2023-08-04,29
8513,3695,2023-08-19,36
3612,49190,2023-09-02,3
8041,6258,2023-09-17,12
7235,23002,2023-10-02,15
6486,40504,2023-10-17,4
8099,34159,2023-11-01,12
1775,14986,2023-11-16,6
9226,13666,2023-12-01,14
4152,39660,2023-12-16,32
2585,4561,2023-12-31,19
