Holder_id,Customer_id,Home_Policy_id,Auto_Policy_id,status_of_policy,StartDate,ExpiryDate,RenewDate,at_risk_flag,Agent_id
1,176254,0,119,Active,2022-06-07,2022-08-16,2023-05-19,No,54342
2,628418,104,116,Inactive,2022-02-08,2022-10-27,2023-01-28,No,46129
3,538409,100,114,Active,2022-03-29,2022-09-22,2023-01-20,Yes,96845
4,638484,103,117,Active,2022-05-02,2022-10-07,2023-01-25,Yes,47781
5,554593,109,119,Inactive,2022-02-06,2022-08-15,2023-03-07,Yes,4629
6,640537,100,119,Active,2022-01-06,2022-11-19,2023-02-04,Yes,39992
7,176254,111,122,Inactive,2022-05-25,2022-07-19,2023-06-13,Yes,24998
8,114971,109,112,Active,2022-06-30,2022-08-29,2023-02-04,Yes,58102
9,930301,109,0,Active,2022-02-20,2022-08-19,2023-02-19,Yes,92900
10,981115,108,112,Inactive,2022-03-19,2022-12-10,2023-06-21,No,52121
11,499661,102,119,Inactive,2022-02-26,2022-09-13,2023-06-07,No,62599
12,293654,111,116,Inactive,2022-03-26,2022-08-15,2023-04-07,Yes,24998
13,499661,106,118,Active,2022-01-27,2022-11-19,2023-04-06,No,96845
14,389080,103,117,Inactive,2022-03-13,2022-12-01,2023-03-04,No,38302
15,415216,104,116,Active,2022-02-13,2022-08-16,2023-03-23,Yes,74988
16,293654,110,119,Active,2022-01-23,2022-12-12,2023-01-12,Yes,80340
17,319355,103,116,Active,2022-06-23,2022-11-16,2023-05-12,Yes,96845
18,847339,110,119,Inactive,2022-04-03,2022-08-02,2023-01-28,Yes,125
19,365390,107,0,Inactive,2022-05-26,2022-08-09,2023-01-17,Yes,56777
20,555849,102,0,Inactive,2022-02-02,2022-10-01,2023-01-22,No,33645
21,638484,111,120,Active,2022-04-27,2022-10-08,2023-04-21,No,47781
22,114971,111,117,Active,2022-02-28,2022-07-18,2023-05-22,Yes,88459
23,981115,103,122,Inactive,2022-03-03,2022-08-21,2023-05-03,Yes,88459
24,176254,103,0,Inactive,2022-02-19,2022-12-05,2023-01-02,No,66624
25,930301,111,121,Inactive,2022-04-07,2022-11-05,2023-03-16,No,62068
26,249650,104,117,Active,2022-05-17,2022-09-18,2023-04-12,Yes,27853
27,974101,100,117,Inactive,2022-05-26,2022-07-13,2023-05-16,Yes,92786
28,74341,104,114,Inactive,2022-03-21,2022-11-10,2023-02-05,No,52121
29,979749,101,113,Active,2022-05-08,2022-09-04,2023-01-05,Yes,31487
30,365390,102,122,Active,2022-02-24,2022-10-22,2023-04-16,Yes,95587
31,94613,100,0,Inactive,2022-06-16,2022-11-15,2023-03-25,Yes,33645
32,979749,0,119,Active,2022-02-01,2022-11-06,2023-01-15,No,31957
33,345273,107,118,Inactive,2022-06-21,2022-12-14,2023-05-15,Yes,47590
34,979749,105,113,Active,2022-04-13,2022-11-02,2023-01-08,Yes,66624
35,972654,110,122,Active,2022-02-23,2022-10-04,2023-04-11,Yes,11119
36,621200,103,113,Inactive,2022-05-21,2022-08-29,2023-01-29,Yes,125
37,632251,102,113,Active,2022-01-13,2022-10-13,2023-04-18,Yes,74988
38,492977,108,118,Active,2022-05-15,2022-08-04,2023-03-31,No,85484
39,77471,103,114,Inactive,2022-03-18,2022-12-16,2023-05-16,No,31487
40,628418,108,114,Inactive,2022-05-18,2022-10-11,2023-02-27,Yes,76607
41,640537,101,119,Active,2022-05-11,2022-11-19,2023-05-18,Yes,97444
42,58082,109,112,Active,2022-06-02,2022-11-26,2023-01-02,Yes,74988
43,352841,105,117,Inactive,2022-06-28,2022-12-22,2023-01-29,No,52121
44,974101,101,0,Inactive,2022-03-16,2022-10-10,2023-02-10,No,95587
45,94613,103,0,Active,2022-03-31,2022-12-08,2023-03-23,No,97840
46,176254,102,119,Active,2022-06-25,2022-10-30,2023-03-23,No,68833
47,591642,101,119,Inactive,2022-06-27,2022-07-19,2023-05-11,Yes,71268
48,830875,0,111,Active,2022-03-13,2022-11-12,2023-04-07,No,16339
49,628418,101,122,Inactive,2022-02-04,2022-07-02,2023-03-26,Yes,80340
50,319355,101,118,Active,2022-02-11,2022-09-12,2023-01-13,No,31957
